text,labels
"Dokumen-dokumen punika nunjukang patbelas bank nulungin nasabah-nasabah sane sugih mantuka ring ngengkebang miliaran dolar kesugihan nyane mantuka ring ngelidang pajak lan peraturan sane lianan. Topik laén nyang geubrithèe teumasok keuadaan masa ukeu Yerusalem nyang suci keu banduwa nanggroe ngön peukara Leumbah Yordan. Huhne lan Pryce dijadwalake metu ing Pengadilan Magistrasi Wesminster ing tanggal 16 Februari. Biasanya Anda selalu mendengar suara turis dan pedagang. Cerita yang berkidah tentang tentang suara dan cahaya bak sebuah dongeng. Di padum boh nanggroe federal, lage Amèrika Serikat ngön Kanada, pajak wasé dilakèe mandua bak level federal ngön level lokal, sampoe hareuga ngön tanda kureung jeut meumacam bagoe dari saboh wilayah keu wilayah laén. Kanthi cara iki, sampeyan bakal ora krasa kesel banget. Kudu dieling-eling yen sampeyan ora kudu nggunakake tenaga sing gedhe kanggo mijet kunci kuwi kaya mijet piano. Anging tanré,bosi ese, presipitasi lébbih, sibawa nanré api ale ia tuh biasanah sibawa mabbere cuacae meja ladde,pada buttu petir,tornado,waterspout,siklon.","ban, ace, jav, ind, bug"
"Wenten tradisi paskah sane ngematutang umatnyane bangun dauh tengah lemeng tur lunga ke genah sane cocok kaanggen mebalih aine endag. Topan minangka puteran kokem sing duwe tekanan hawa cendhek banget, sing nyedhot hawa ing saubenging mlebu lan munggah. Tim anu henteu katembong"" nyaeta tim manajemen anu sewang-sewang anggota ngalaporkeun. Tim anu teu katembong netepkeun standar kanggo saban anggota.","ban, jav, sun"
Day hiking involves distances of less than a mile up to longer distances that can be covered in a single day.,eng
"Latar belakangne minab wantah wangunan kuna masejarah kasarengin perabot antik, halaman sane karesikang lan kolam renang. Eropa wantah benua sane relatif alit nanging madue akeh negara merdeka. Ring kala normal, mamargi ngalintangin makudang negara madue arti iraga patut ngalintangin aplikasi visa miwah kontrol paspor ping akeh. Sababaraha kali hujan dibarengan ku angin tarik jeung sering dibarengan ku kilat kingkilaban. Cukup jelas bahwa dunia berkembang karena ilmu pengetahuan dan teknologi, serta kelebihan jumlah penduduk dan gaya hidup boros manusia menjadi masalah yang cukup besar.","ban, sun, ind"
"Segregasi sareng kombinasi ulang diacak bulak balik diantara dua kelompok sareng unggal generasi. Peungumuman bak Metro sabèe jipeugoet lam basa Catalan, tapi na gangguan nyang hana ireuncanakan lé sistem otomatih jitamong dumpue basa lage basa spanyol, basa Inggreh, basa Prancis, basa Arab ngön basa Jeupang. Kota Vatikan ngagunakeun basa italia dina panerapan jeung komunikasi resmi. Pesen sakdurunge marakake wong kang lelungan ayem pikirane amarga dheweke bakal duwe panggonan kanggo turu sakwise tekan ung jujugane.","sun, ace, jav"
"Ana akeh bageyan ndonya, ngobahke tangan, kuwi nandhakake “halo.” Di tahun 1951, kebakaran yang terjadi membuat peninggalan Drukgyal Dzong hanya tersisa beberapa saja, contohnya gambar Zhabdrung Ngawang Namgyal. Di kereta malam, kondektur akan mengumpulkan paspor agar tidur Anda tidak terganggu. City-states are the precursors of nations. A civilizational culture implies the passing on of knowledge across several generations, a lingering cultural footprint and fair dissemination. MetroPlus wantah lebih nyaman tur kirang rame nanging akidik maelan, yadiastun kantun mudahan katimbang tiket metro normal ring Eropa.","jav, ind, eng, ban"
"Iki dadi praktik umum, nanging wesine nyebabake panganggo luwih akeh ing perangan roda kayu kreta. Biasane bisa diisi maneh kanthi gampang menawa sampeyan kentekan, lan menehi resolusi kang kira-kira bisa disandhingne karo DSLR saiki.",jav
"Cuban citizens who are US green card holders should visit an Ecuadorian Consulate to obtain an exemption to this requirement. Mabiasani pastri-é paké  bua-bua.  Aku apel ripasitunu pastri, engka matteru ri lalengna tassitaungngé.  Aku wettu pellani, engkatonitu cumpa céri-é sibawa bua plum-é. Cacahe wong sing wis teka akeh banget saengga saben wong ora bakal oleh dalan menyang kuburan ing Lapangan St. Peter. Dua bawang minggu na ripaleppe'ni Prancis ri attang ri tentara Amerikaé sibawa Pasukan Kemerdekaan-na Prancis, nappa pada balé' jokka ri Jerman. Taiwan mappammula paimeng ri aba' ke -15 na engka pakkappala' Eropaé labe'i na iya nacata' asengna pulauè nariyaseng pulau Ilha Formosa,yarè'ga pulau macanti'è. Ilmuwan dari Stanford University School of Medicine pada hari Senin mengumumkan penemuan alat diagnostik baru yang bisa mengurutkan sel berdasarkan tipe: cip kecil dapat dicetak yang bisa diproduksi menggunakan printer inkjet standar dengan biaya sekitar satu sen AS per cip.","eng, bug, jav, ind"
"For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook. Padum boh nanggroe ka ulak hukoman nyang keujam bahpih keu nyang keu phôn meulanggeh; nyoe ka banmandum hukoman keurengkeng leubeh nibak 10 thon atawa matee. Ri wettuna pallaonna, Iwaski nakenna maega masala ri lalenna maega é kesempatanna. Apabila setrika tidak tersedia atau Anda tidak ingin mengenakan kaos kaki yang disetrika, Anda bisa menggunakan pengering rambut, apabila tersedia.","eng, ace, bug, ind"
"Siare' negara lari lintas alam ri wettu cékké é, rikombinasi sibawa latihang gimnasium untuk bagiang yasé’na watakkalé, iyanaritu persiapang liwa' gello untu' lomba lari. Membeli makanan di supermarket biasanya merupakan cara termurah untuk mendapatkan makanan. Tanpa peluang memasak, pilihan menjadi terbatas pada makanan siap-saji. Foton malah langkung alit tibatan anu ngabentuk atom! Curtis Cooper, tau matematikawang nennia professor ilmu komputer ri University of Central Missouri, pura iruntuki bilangang prima kaminang maloppo iyyaro riisseng lettu makkokkoe ri 25 Januari. Wénten taler persyaratan antuk polih nomor lokal saking pakraman ida dané meneng; ida dané dados polih sinyal internét satelit ring Alaska, miwah milih nomor sané nunjukkang ida dané sedek nongos ring Arizona. The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus. Hindi ngön Urdu nyan hie lam kusakata tapih meubeda lam skrip; lam peunutoe siuroe-uroe, peunutoe keuduwa basa nyan biyasa jih jeuet sapue pham. Ri kepulauan sibawa tappareng, de’ mi muapparelluang kappala'.","bug, ind, sun, ban, eng, ace"
"Mantan sisyane ngeraosang wantah ipune 'ngangge basa andap ring kelas, ngajahin teknik matunangan lan maparisolah minab suitra ka sisyane.'",ban
"Dina kasus séjén, ngan ukur anu cicing di luar akomodasi turis anu kedah ngadaptar. Nanging, ieu ngajadikeun hukum langkung hanteu jelas, janten aranjeun kedah terang heula sateuacanna. Inggris telah melewati periode damai yang panjang setelah penaklukan Danelaw. Pastikeun leungeun anjeun sakumaha tiasa santai bari tetep pencét kabéh nada anu leres - ogé cobi ulah ngadamel seueur gerakan asing sareng ramo anjeun. Raja Sejong minangka raja kaping papat ing Wangsa Joseon lan minangka salah sawijining sing paling diurmati. Ora usah isin: iki ora ana bedane karo rasa wedi lan rasa ora seneng pribadhi marang perkara liya sing dinduweni dening wong akeh. Sababaraha tempat di Rotorua nawarkeun hangi panas bumi, upami hangi anu sanés tiasa dicobian di Christchurch, Wellington sareng tempat nu sanés. China Kuno nduweni cara sing ora biyasa kanggo nuduhke jaman;saben tingkatan China utawa saben kaluwarga sing nduweni kakuwasan kuwi dinasti sing khas. Sanajan loba sato di kebon biasa ningal jelema, sato liar mah tetep wéh liar jadi ulah dibere dahar atanapi diganggu.","sun, ind, jav"
"Puniki mesib sakadi Norwegia, Swedia miwah Selandia Baru, nanging ring negara lianan kabaos unik (umpamine ring Belanda angkane siki banding petang dasa). Plancong bisa mlebu menyang sarang kewan sing ora dikenal ning daerah sing beda. Makeusud ilmee utama nakeuh neuk jiteupue cara donya keurija rhot cara alami. Deuh takaloen cara nyoe geupeumeuho bak peuneulitian ladom. Wettunna mawé labe' Aba' Pertengahan, mammulani berkembang gaya-gayana tau Éropa barat'é.  Engka wassélé'na perang salib mancaji séddi perkembangan kaminang maraja iyaro wettué iyanaritu mammulani taué paké kancing ri wajunna. Piquet Jr. dipecat disubane Grand Prix Hungaria 2009. Séddi anré wenni marippe' na populér, khususna ri wettu pella, iyanaritu Pa amb Oli:  roti sibawa minynya' zaitun, lambacé, nappa ri asé'na  agi-agi tassadia.  Wedding ritaroi kéju, tuna, iyaréga laingngé. Saat kapsul tersebut sampai di bumi Bumi dan memasuki atmosfer, sekitar pukul 5 pagi (waktu timur), diharapkan dapat menjadi pertunjukan cahaya bagi penduduk di Kalifornia Utara, Oregon, Nevada, dan Utah. I am happy that there are people willing to support me.","ban, jav, ace, bug, ind, eng"
"Ing sawetara derah nggodhok banyu mung menit cukup, ing derah liyane mbutuhake sawetara menit. Amarga polusi ringan ing mangsa jayane dheweke padha iku udu jenis perkara kaya saiki iki, dhewehe padha biasane ana ing kutha utawa kampus, luwih gampang digayuh tinimbang bangunan-bangunan ing jaman modern iku. Sharks do exist, however they rarely attack humans. Most sharks are scared of humans and would swim away. The city is in stark contrast to the rest of the country's cities, because it has more of an Arabic flair than of an African. Neukunjong u teumpat nyan jeuet deungon teuseuheh digabong deungön saboh kunjongan deungon jalo u dano nyan.","jav, eng, ace"
"Perusahaan pangatoro' beng , HK Management Inc., de' nalengngi alasang pammulang riwettu alena napapessaui pole ri 20 September, naekia nasalahkangngi alasang logistik pole ri esso pemeng. Teumeuatoe mungken saboh geudong tuha meuseujarah deungon peurabot antik, halaman meurawat ngoen saboh kulam meulangue.","bug, ace"
"Eungkotyee cit na, adakpih awak nyan jareung ipoh manusia. Lee eungkot yee yoe keu manusia ngoen keuneuk meulangu jioh. Namun, pasar konsumen untuk komputer laptop akan sangat bervariasi dan berubah setelah ASUS dianugerahi Taiwan Sustainable Award 2007 oleh Eksekutif Yuan dari Republik Tiongkok. Budaya na suku matoa e mappammula napoji sappa-sappa susu, gemme',juku',sibawa oli'-oli' é. Entik-entikan punika kacingak sakadi taru palem sane madue mahkota marupa plawa madui mangan.","ace, ind, bug, ban"
"Budaya gawé Jepang leuwih ningal jabatan jeung resmi dibandingkeun jeung anu biasa dilakukeun ku orang Barat. Huhne wis pensiun lan dheweke bakal diganteni dening Kabinet Ed Davey MP. Norman Lamb MP dikarepke supaya nglakokne pakaryan Menteri Bisnis sing dikosongke dening Davey. Golf iku dolanan sing pemaine nggunakake penthung kanggo nuthuk bal menyang bolongan. Bagian tertingginya menyajikan pemandangan menakjubkan dari puncak. Para pendaki dari seluruh penjuru dunia terus membuat rute-rute baru di antara potensi temboknya yang tanpa batas. Nyang mat wewenang geukheun bacut seucara raseumi selaen geupeutentee penangkapan uroe nyoe. Parte sing dipimpin, Pakumpulan Rakyat Afrika Kidul (SWAPO), uga njaga mayoritas ing pamilihan parlemen.","sun, jav, ind, ace"
"Riyawangna daeraé ribatasi ko Sahél, na ri Yattangna na Orai’na ribatasi Samudera Atlantik. Rasio aspek format puniki (kacacar dados  roras mangda polih rasio bilangan bulat pinih sawentene) minab punika kaucap 3:2. Pasangan manawi mutuskeun yen sanes demi kapentingan nyongcolang maranehanana, atawa demi kapentingan anak maranehanana, kanggo ngagedekeun orok. Maéga riamati ritme rilalengna fisiologi na ampé gau' é maderi' poko' tergantung ri siklus Endogen na labe' jang Biologis barang tépuna. This type of thinking is associated with certain science or standard procedures. Ing mangsa adhem, seneng-senenga liwat sawetara panggonan ski paling apik ing Amerika Lor, lan ing mangsa panas nyobaa pit-pitan liwat gunung sing asli. ""Kertas Panama yaiku ukara payung kanggo sepuluh yuta dokumen saka firma hukum Panama Mossack Fonseca, sing bocor menyang pers mangsa semi 2016. "" Meskipun sebagian besar makanan mereka tidak asing bagi kita, orang Romawi memang memiliki andil dalam makanan pesta yang aneh atau tidak biasa, termasuk babi hutan, merak, siput, dan sejenis hewan pengerat yang disebut tikus. Penggunakan perekam video mengarah pada penemuan penting interpretasi ekspresi mikro, gerakan wajah, yang terjadi dalam hitungan milidetik.","bug, ban, sun, eng, jav, ind"
"Hal tersebut mencakup pembatasan keuangan dan larangan Uni Eropa atas ekspor minyak mentah, yang merupakan 80% pendapatan ekonomi luar negeri Iran. Meuligoe tradisional abad teuneungoh ka trep meuilhami imajinasi, meusulap gamba jousts, hidang keu jamee ngon ksatria Arthurian. Agen-agen puniki madué swadharma mangdané nyiagayang layanan pemerintah miwah pengadilan nganutin Pasal 247 Konstitusi Pakistan.","ind, ace, ban"
"Keu ladom arah jak, perusahaan nyang leubéh rayek na kapai phe khusus atra awak nyan, tapi keu ladom arah jak nyang laén ngön ladom peurusahaan nyang ubeut na masalah disinan.",ace
"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland. ""They are cooler than the surrounding surface in the day and warmer at night. Rékko wettu keccé'i, assennang-sennangki' maski ri onrong-onrong ski kaminang makanja' ri Amérika Utara.  Aku wettu pellai, cobatosi aselinna assapédang bulu'é.","eng, bug"
"Origami ini dikembangkan oleh John Smith pada tahun 1970 untuk membantu pelipat yang tidak berpengalaman atau yang memiliki kemampuan motorik terbatas. Lampéna Turki lebbi 1600 kilométéré' (1000 mi) na 800 km lebba'na (500 mi), sibawa modélé' persegi lampé. Hukum Prancis telah diubah. Aktivismenya berawal di usia 15 ketika ia bergabung dengan Perlawanan Prancis selama Perang Dunia II.","ind, bug"
Komputer jinoe ka jingui keu tapeuna-peuna gamba ngön video. Nasihat nakeuh saboh ceurita tuet bak keuadaan politek i saboh nanggroe. At one point a member of the mob waved the head of a royal guard killed at Versailles in front of the terrified Queen.,"ace, eng"
"Dipeudong le Ureueng Meuseee bak abad keu lhee BCE, Piramida Raya nyankeuh saboh nibak jai geudoeng piramida nyang dipeugöt keu jitabek Firaun nyang ka mate. Neupikee keu neuikot ujoe mata i rumoh, phôn that jih meunyoe dibayeu le asuransi, ngoen neumee resepjih keu neujok bak teumpat laen. Biasanna observatorium pra-modern déna naripaké makkekkuaé, mancajiwi muséum iyaré'ga situs aggurung. Sawatara galag 10:00-23:00 MDT, api kaenjut olih narapidana ring halaman. ""Terjebak di kereta luncur, berapa pun lamanya, tentu tidak nyaman, dan perlu waktu sekurang-kurangnya satu jam untuk mengeluarkan orang pertama dari kereta tersebut.""","ace, bug, ban, ind"
"Schumacher pensiun ring warsa 2006, ri sampuné dané dados jayanti ping pitu sajeroning acara Formula 1, punika sané pacang ngentosin Felipe Massa sane keni cidra. Gareh toe-toe titek Marison ngoen Fairmont jipeuleumah nyang paleng meunantang bak Kuebeu-Jalan Rayeuk Pittsburgh, kayem leupah u dairah uteuen nyang jioh. Alena to mappatentui laleng maelo' riola hiking nennia massapeda iyya kaminang ri issenge. Tanraé aro de’na masolang watakkaléna; Perubahang ripigau mappakkiguna tarapala lotong iya ribélo-béloi sibawa tanra-tanra maddamai na atinna untu' maroba ""O"" mancaji abasyang hurufu' biccu ""e"". Layanan puniki akéh kaanggén ring pengiriman, perahu montor, miwah ékspédisi sané polih data jarak jauh lan kaperluan antuk suara. Sipungeng russa' saljue, salju iyyae genne'i untu' naweddingi tattankungi wedding nno' ri laleng wettu cinampe'e. Daratan Ellsworth mawasta wawidangan kelod ring semenanjung, kawatesin olih segara Bellingshausen.","ban, ace, bug"
